participant,F1,F2,F3,F4,F5,F6
210,31.0,54.0,22.0,20.0,28.0,19.0
211,30.0,51.0,17.0,21.0,22.0,17.0
212,32.0,46.0,18.0,16.0,32.0,19.0
213,40.0,57.0,19.0,15.0,34.0,25.0
214,32.0,45.0,13.0,15.0,30.0,15.0
215,32.0,49.0,20.0,17.0,27.0,21.0
216,32.0,49.0,17.0,18.0,28.0,16.0
217,33.0,51.0,14.0,18.0,32.0,18.0
218,39.0,56.0,25.0,23.0,34.0,15.0
219,32.0,48.0,23.0,17.0,35.0,21.0
220,39.0,53.0,23.0,22.0,26.0,18.0
221,31.0,57.0,24.0,22.0,35.0,21.0
222,40.0,60.0,25.0,19.0,35.0,21.0
223,35.0,51.0,18.0,20.0,32.0,18.0
224,39.0,58.0,24.0,20.0,37.0,19.0
225,32.0,45.0,19.0,18.0,30.0,17.0
226,36.0,51.0,22.0,20.0,26.0,21.0
227,33.0,54.0,22.0,17.0,30.0,20.0
228,26.0,57.0,19.0,19.0,28.0,20.0
229,37.0,54.0,24.0,18.0,35.0,19.0
230,38.0,56.0,23.0,22.0,33.0,20.0
231,40.0,58.0,19.0,22.0,29.0,22.0
232,40.0,59.0,24.0,22.0,34.0,24.0
233,32.0,49.0,22.0,18.0,32.0,22.0
234,30.0,50.0,14.0,16.0,28.0,19.0
235,37.0,47.0,23.0,17.0,29.0,15.0
236,27.0,46.0,21.0,15.0,31.0,12.0
237,39.0,54.0,24.0,17.0,35.0,19.0
238,35.0,55.0,19.0,17.0,27.0,17.0
239,32.0,48.0,24.0,20.0,30.0,18.0
240,40.0,60.0,24.0,21.0,33.0,21.0
241,33.0,51.0,17.0,20.0,24.0,18.0
242,32.0,48.0,23.0,16.0,23.0,17.0
243,25.0,42.0,21.0,15.0,25.0,17.0
244,40.0,60.0,23.0,23.0,28.0,22.0
245,31.0,54.0,22.0,17.0,36.0,23.0
246,29.0,52.0,23.0,21.0,26.0,18.0
247,37.0,50.0,22.0,18.0,31.0,20.0
248,27.0,48.0,19.0,18.0,26.0,16.0
249,33.0,53.0,23.0,16.0,33.0,21.0
250,29.0,48.0,21.0,18.0,23.0,15.0
251,37.0,50.0,20.0,21.0,28.0,19.0
252,32.0,46.0,15.0,14.0,33.0,18.0
253,36.0,50.0,22.0,21.0,30.0,23.0
254,37.0,56.0,24.0,24.0,30.0,18.0
255,36.0,56.0,24.0,20.0,32.0,20.0
256,31.0,48.0,20.0,14.0,30.0,19.0
257,30.0,53.0,13.0,17.0,26.0,19.0
258,28.0,49.0,18.0,18.0,26.0,15.0
259,32.0,51.0,13.0,22.0,27.0,18.0
260,32.0,50.0,22.0,18.0,34.0,22.0
261,31.0,48.0,24.0,19.0,28.0,15.0
262,30.0,47.0,20.0,23.0,33.0,19.0
263,38.0,50.0,20.0,19.0,31.0,21.0
264,33.0,53.0,16.0,21.0,33.0,17.0
